County,Year,AidAmount,Population,JailPopulation,CrimesReported
Albany,2010,253982539,304086,698,20890
Albany,2011,227093331,304596,614,20290
Albany,2012,226720094,305723,622,18940
Albany,2013,235041459,306589,629,17908
Albany,2014,245903784,307151,621,17363
Albany,2015,258757415,307433,578,16247
Albany,2016,274285924,307597,571,16439
Albany,2017,285767231,307717,576,16411
Albany,2018,292562828,306585,587,15619
Albany,2019,312858464,305506,416,15033
Allegany,2010,104771381,48971,138,1593
Allegany,2011,100017858,48800,129,1726
Allegany,2012,102872523,48210,135,1653
Allegany,2013,105995346,47900,131,1538
Allegany,2014,110351813,47652,124,1162
Allegany,2015,113091461,47334,116,1101
Allegany,2016,118210523,47044,122,1061
Allegany,2017,120957280,46639,111,936
Allegany,2018,124940136,46332,107,839
Allegany,2019,126698492,46091,84,851
Broome,2010,267481772,200481,446,11915
Broome,2011,238693058,199363,459,12765
Broome,2012,245664464,198667,501,13190
Broome,2013,261462957,197914,517,12900
Broome,2014,269318096,197251,481,12140
Broome,2015,283418963,195928,492,12295
Broome,2016,297887673,194498,517,10208
Broome,2017,311484274,193100,500,10471
Broome,2018,319364120,191925,457,9666
Broome,2019,328386705,190488,441,9717
Cattaraugus,2010,172403680,80218,110,3857
Cattaraugus,2011,163137694,79815,127,3688
Cattaraugus,2012,166552121,79348,118,4025
Cattaraugus,2013,170649194,78996,120,3427
Cattaraugus,2014,176827906,78677,129,2761
Cattaraugus,2015,185782150,77926,128,2471
Cattaraugus,2016,192744933,77658,134,2384
Cattaraugus,2017,195401127,77176,131,2214
Cattaraugus,2018,200322481,76726,133,2060
Cattaraugus,2019,205268338,76117,135,1705
Cayuga,2010,104618979,79895,184,3372
Cayuga,2011,89877833,79693,192,3252
Cayuga,2012,90967335,79505,190,3475
Cayuga,2013,97192992,79088,191,2906
Cayuga,2014,101836595,78762,183,2974
Cayuga,2015,105052377,78298,163,2910
Cayuga,2016,109241420,77674,164,2672
Cayuga,2017,112251222,77457,156,2492
Cayuga,2018,114422728,77121,156,2279
Cayuga,2019,122291370,76576,145,2272
Chautauqua,2010,231981998,134725,281,7418
Chautauqua,2011,210968758,134209,272,7071
Chautauqua,2012,221197403,133304,287,7386
Chautauqua,2013,222285509,132852,279,7000
Chautauqua,2014,232875978,131751,283,6774
Chautauqua,2015,242170800,130529,268,6266
Chautauqua,2016,252860095,129206,275,6300
Chautauqua,2017,267583462,128372,282,5234
Chautauqua,2018,275154456,127472,260,4948
Chautauqua,2019,279449793,126903,236,5283
Chemung,2010,130097491,88895,181,3957
Chemung,2011,113248575,88899,163,4379
Chemung,2012,116014779,89137,189,4646
Chemung,2013,119667562,88199,187,4251
Chemung,2014,122403691,87177,160,4121
Chemung,2015,130929464,86705,167,3647
Chemung,2016,135762855,85644,150,3956
Chemung,2017,137280831,84736,164,2991
Chemung,2018,138386200,83935,155,2742
Chemung,2019,142318312,83456,132,3068
Chenango,2010,118183648,50399,90,1912
Chenango,2011,110326397,50182,98,2087
Chenango,2012,112469937,49883,84,1988
Chenango,2013,116634826,49477,104,1804
Chenango,2014,124153669,49319,99,1768
Chenango,2015,122427788,48772,95,1597
Chenango,2016,125187796,48315,99,1833
