County,Year,Crimes.Reported
Albany,2019,15033.0
Allegany,2019,851.0
Bronx,2019,57353.0
Broome,2019,9717.0
Cattaraugus,2019,1705.0
Cayuga,2019,2272.0
Chautauqua,2019,5283.0
Chemung,2019,3068.0
Chenango,2019,1457.0
Clinton,2019,2212.0
Columbia,2019,1334.0
Cortland,2019,1393.0
Delaware,2019,1016.0
Dutchess,2019,6530.0
Erie,2019,38514.0
Essex,2019,610.0
Franklin,2019,936.0
Fulton,2019,1897.0
Genesee,2019,1893.0
Greene,2019,999.0
Hamilton,2019,55.0
Herkimer,2019,1424.0
Jefferson,2019,3501.0
Kings,2019,81276.0
Lewis,2019,290.0
Livingston,2019,1137.0
Madison,2019,1561.0
Monroe,2019,29862.0
Montgomery,2019,1295.0
Nassau,2019,25093.0
New York,2019,89937.0
Niagara,2019,6990.0
Oneida,2019,8471.0
Onondaga,2019,18311.0
Ontario,2019,2776.0
Orange,2019,9657.0
Orleans,2019,914.0
Oswego,2019,3599.0
Otsego,2019,1141.0
Putnam,2019,703.0
Queens,2019,55573.0
Rensselaer,2019,6012.0
Richmond,2019,8280.0
Rockland,2019,5290.0
Saratoga,2019,4559.0
Schenectady,2019,7285.0
Schoharie,2019,424.0
Schuyler,2019,122.0
Seneca,2019,833.0
Steuben,2019,1670.0
St Lawrence,2019,2121.0
Suffolk,2019,34900.0
Sullivan,2019,1845.0
Tioga,2019,734.0
Tompkins,2019,3579.0
Ulster,2019,3759.0
Warren,2019,1370.0
Washington,2019,568.0
Wayne,2019,2276.0
Westchester,2019,17649.0
Wyoming,2019,468.0
Yates,2019,351.0
Albany,2018,15619.0
Allegany,2018,839.0
Bronx,2018,58196.0
Broome,2018,9666.0
Cattaraugus,2018,2060.0
Cayuga,2018,2279.0
Chautauqua,2018,4948.0
Chemung,2018,2742.0
Chenango,2018,1339.0
Clinton,2018,2146.0
Columbia,2018,1682.0
Cortland,2018,1492.0
Delaware,2018,1091.0
Dutchess,2018,6780.0
Erie,2018,42269.0
Essex,2018,534.0
Franklin,2018,965.0
Fulton,2018,1743.0
Genesee,2018,1760.0
Greene,2018,1104.0
Hamilton,2018,89.0
Herkimer,2018,1514.0
Jefferson,2018,3767.0
Kings,2018,85828.0
Lewis,2018,382.0
Livingston,2018,1212.0
Madison,2018,1769.0
Monroe,2018,31051.0
Montgomery,2018,1362.0
Nassau,2018,25233.0
New York,2018,90709.0
Niagara,2018,8229.0
Oneida,2018,8653.0
Onondaga,2018,18524.0
Ontario,2018,2794.0
Orange,2018,11083.0
Orleans,2018,1135.0
Oswego,2018,3878.0
Otsego,2018,1343.0
Putnam,2018,950.0
Queens,2018,57414.0
Rensselaer,2018,5799.0
Richmond,2018,10068.0
Rockland,2018,6057.0
Saratoga,2018,4990.0
Schenectady,2018,8514.0
Schoharie,2018,613.0
Schuyler,2018,105.0
Seneca,2018,882.0
Steuben,2018,1925.0
St Lawrence,2018,2649.0
Suffolk,2018,36386.0
Sullivan,2018,2201.0
Tioga,2018,751.0
Tompkins,2018,3674.0
Ulster,2018,4241.0
Warren,2018,1808.0
Washington,2018,800.0
Wayne,2018,2789.0
Westchester,2018,18009.0
Wyoming,2018,603.0
Yates,2018,473.0
Albany,2017,16411.0
Allegany,2017,936.0
Bronx,2017,58480.0
Broome,2017,10471.0
Cattaraugus,2017,2214.0
Cayuga,2017,2492.0
Chautauqua,2017,5234.0
Chemung,2017,2991.0
Chenango,2017,1347.0
Clinton,2017,2295.0
Columbia,2017,1805.0
Cortland,2017,1939.0
Delaware,2017,981.0
Dutchess,2017,7617.0
Erie,2017,43275.0
Essex,2017,777.0
Franklin,2017,1276.0
Fulton,2017,2058.0
Genesee,2017,2118.0
Greene,2017,1131.0
Hamilton,2017,68.0
Herkimer,2017,2164.0
Jefferson,2017,4281.0
Kings,2017,84939.0
Lewis,2017,485.0
Livingston,2017,1562.0
Madison,2017,1864.0
Monroe,2017,35327.0
Montgomery,2017,1800.0
Nassau,2017,26380.0
New York,2017,85621.0
Niagara,2017,10411.0
Oneida,2017,8868.0
Onondaga,2017,20357.0
Ontario,2017,3111.0
Orange,2017,12639.0
Orleans,2017,1441.0
Oswego,2017,3742.0
Otsego,2017,1375.0
Putnam,2017,1202.0
Queens,2017,56536.0
Rensselaer,2017,6588.0
Richmond,2017,10487.0
Rockland,2017,6413.0
Saratoga,2017,5314.0
Schenectady,2017,8529.0
Schoharie,2017,591.0
Schuyler,2017,125.0
Seneca,2017,1069.0
Steuben,2017,2365.0
St Lawrence,2017,2890.0
Suffolk,2017,41175.0
Sullivan,2017,2343.0
Tioga,2017,858.0
Tompkins,2017,3787.0
Ulster,2017,4855.0
Warren,2017,2051.0
Washington,2017,937.0
Wayne,2017,2799.0
Westchester,2017,21207.0
Wyoming,2017,621.0
Yates,2017,492.0
Albany,2016,16439.0
Allegany,2016,1061.0
Bronx,2016,59851.0
Broome,2016,10208.0
Cattaraugus,2016,2384.0
Cayuga,2016,2672.0
Chautauqua,2016,6300.0
Chemung,2016,3956.0
Chenango,2016,1833.0
Clinton,2016,2655.0
Columbia,2016,1572.0
Cortland,2016,1597.0
Delaware,2016,1244.0
Dutchess,2016,7666.0
Erie,2016,47840.0
Essex,2016,736.0
Franklin,2016,1304.0
Fulton,2016,2214.0
Genesee,2016,2399.0
Greene,2016,1004.0
Hamilton,2016,103.0
Herkimer,2016,2091.0
Jefferson,2016,4477.0
Kings,2016,86081.0
Lewis,2016,442.0
Livingston,2016,1681.0
Madison,2016,1934.0
Monroe,2016,35046.0
Montgomery,2016,1965.0
Nassau,2016,28730.0
New York,2016,84467.0
Niagara,2016,11440.0
Oneida,2016,9804.0
Onondaga,2016,20817.0
Ontario,2016,3568.0
Orange,2016,13722.0
Orleans,2016,1420.0
Oswego,2016,4363.0
Otsego,2016,1468.0
Putnam,2016,1169.0
Queens,2016,58244.0
Rensselaer,2016,6844.0
Richmond,2016,11037.0
Rockland,2016,6740.0
Saratoga,2016,5428.0
Schenectady,2016,8673.0
Schoharie,2016,732.0
Schuyler,2016,223.0
Seneca,2016,1219.0
Steuben,2016,2864.0
St Lawrence,2016,3305.0
Suffolk,2016,44288.0
Sullivan,2016,2262.0
Tioga,2016,863.0
Tompkins,2016,3753.0
Ulster,2016,4991.0
Warren,2016,2290.0
Washington,2016,1079.0
Wayne,2016,3084.0
Westchester,2016,22970.0
Wyoming,2016,606.0
Yates,2016,623.0
Albany,2015,16247.0
Allegany,2015,1101.0
Bronx,2015,59189.0
Broome,2015,12295.0
Cattaraugus,2015,2471.0
