County,AidAmount_mean,Population_mean,JailPopulation_mean,CrimesReported_mean,AidPerCap,CrimesPerCap
Albany,261297306,306298,591,17514,853,0.05717955339615009
Allegany,112790681,47497,119,1246,2374,0.02623307009029987
Broome,282316208,195961,481,11526,1440,0.05882124805127538
Cattaraugus,182908962,78265,126,2859,2337,0.036531967388012884
Cayuga,104775285,78406,172,2860,1336,0.03648148313477513
Chautauqua,243652825,130932,272,6368,1860,0.048635821718552255
Chemung,128610976,86678,164,3775,1483,0.04356107584020453
Chenango,122340383,48880,94,1713,2502,0.035048813021170036
Clinton,128367245,81143,205,2762,1581,0.03404207597139396
Columbia,61911735,61397,79,1951,1008,0.031787783927111395
Cortland,78808350,48465,79,1840,1626,0.03798411224595069
Delaware,72402851,46102,70,1325,1570,0.02874464508432298
Dutchess,281557163,295304,410,8883,953,0.03008179004141143
Erie,1276165804,919830,1167,50562,1387,0.05496939651892197
Essex,37576720,38172,71,805,984,0.021101523082001226
Franklin,100175207,50967,105,1515,1965,0.02973261444525542
Fulton,95525073,54191,85,2573,1762,0.047490579755608775
Genesee,100669371,58635,89,2459,1716,0.04195225775423505
Greene,54759334,47997,64,1249,1140,0.026034635065086586
Hamilton,3031112,4652,3,101,651,0.021861564918314706
Herkimer,132915076,63063,67,2118,2107,0.03359005951163355
Jefferson,195898646,115524,168,4549,1695,0.03938028890766311
Lewis,55785585,26834,31,578,2078,0.021569007408290725
Livingston,93258502,64205,119,1785,1452,0.027812432345717085
Madison,103178332,71943,89,2117,1434,0.02943020247945946
Monroe,1060938938,745103,1262,40007,1423,0.05369362158325945
Montgomery,97036034,49598,113,2018,1956,0.040693173111819025
Nassau,971765044,1352694,1261,31625,718,0.023379255736086534
Niagara,302314607,212841,423,11262,1420,0.052913948293991125
Oneida,376268380,231847,421,10393,1622,0.04482982162012251
Onondaga,661417437,465196,1042,22456,1421,0.04827399856318813
Ontario,141795481,109131,193,3619,1299,0.03316818119758054
Orange,552371172,377083,616,14393,1464,0.03817168200545662
Orleans,83174422,41650,66,1468,1996,0.0352676224066689
Oswego,239748819,119903,160,4932,1999,0.041134848778014266
Otsego,91489578,60840,65,1638,1503,0.02692965154503616
Putnam,86834131,99206,92,1332,875,0.013431579583999032
Rensselaer,197649946,159350,295,7584,1240,0.04759573869911842
Rockland,209611113,320766,191,7161,653,0.02232624405329742
Saratoga,210783342,225481,178,5622,934,0.024934229549958043
Schenectady,190566133,154899,302,9340,1230,0.060299664879919064
Schoharie,53850723,31711,27,765,1698,0.024145510045125017
Schuyler,25243694,18140,20,255,1391,0.014084817614015359
Seneca,57132574,34811,75,1252,1641,0.03598236215043879
Steuben,205976871,97619,186,2799,2109,0.02867770135854144
Suffolk,1832971518,1490224,1433,48416,1229,0.03248966632278114
Sullivan,113642830,75961,155,2810,1496,0.036992277697474256
Tioga,94307067,49552,73,986,1903,0.01990837907652567
Tompkins,93145818,102644,81,4499,907,0.04383589136064191
Ulster,193860277,180082,275,5875,1076,0.03262554780356592
Warren,69088642,64814,127,2262,1065,0.034900925558783547
Washington,105573603,62276,91,1269,1695,0.02038800966009814
Wayne,167906932,91677,106,3125,1831,0.034091355320624975
Westchester,690594477,964250,1194,23627,716,0.024503378633793062
Wyoming,53443542,40969,55,777,1304,0.018984900926057008
Yates,24551549,25157,47,652,975,0.025920596559290236
