"County","Year","Population"
"New",2019,19453561
"Albany",2019,305506
"Allegany",2019,46091
"Bronx",2019,1418207
"Broome",2019,190488
"Cattaraugus",2019,76117
"Cayuga",2019,76576
"Chautauqua",2019,126903
"Chemung",2019,83456
"Chenango",2019,47207
"Clinton",2019,80485
"Columbia",2019,59461
"Cortland",2019,47581
"Delaware",2019,44135
"Dutchess",2019,294218
"Erie",2019,918702
"Essex",2019,36885
"Franklin",2019,50022
"Fulton",2019,53383
"Genesee",2019,57280
"Greene",2019,47188
"Hamilton",2019,4416
"Herkimer",2019,61319
"Jefferson",2019,109834
"Kings",2019,2559903
"Lewis",2019,26296
"Livingston",2019,62914
"Madison",2019,70941
"Monroe",2019,741770
"Montgomery",2019,49221
"Nassau",2019,1356924
"New",2019,1628706
"Niagara",2019,209281
"Oneida",2019,228671
"Onondaga",2019,460528
"Ontario",2019,109777
"Orange",2019,384940
"Orleans",2019,40352
"Oswego",2019,117124
"Otsego",2019,59493
"Putnam",2019,98320
"Queens",2019,2253858
"Rensselaer",2019,158714
"Richmond",2019,476143
"Rockland",2019,325789
"St.",2019,107740
"Saratoga",2019,229863
"Schenectady",2019,155299
"Schoharie",2019,30999
"Schuyler",2019,17807
"Seneca",2019,34016
"Steuben",2019,95379
"Suffolk",2019,1476601
"Sullivan",2019,75432
"Tioga",2019,48203
"Tompkins",2019,102180
"Ulster",2019,177573
"Warren",2019,63944
"Washington",2019,61204
"Wayne",2019,89918
"Westchester",2019,967506
"Wyoming",2019,39859
"Yates",2019,24913
"New",2018,19530351
"Albany",2018,306585
"Allegany",2018,46332
"Bronx",2018,1432087
"Broome",2018,191925
"Cattaraugus",2018,76726
"Cayuga",2018,77121
"Chautauqua",2018,127472
"Chemung",2018,83935
"Chenango",2018,47445
"Clinton",2018,80679
"Columbia",2018,59785
"Cortland",2018,47722
"Delaware",2018,44526
"Dutchess",2018,293939
"Erie",2018,919717
"Essex",2018,37288
"Franklin",2018,50279
"Fulton",2018,53633
"Genesee",2018,57487
"Greene",2018,47381
"Hamilton",2018,4432
"Herkimer",2018,61713
"Jefferson",2018,111866
"Kings",2018,2578074
"Lewis",2018,26486
"Livingston",2018,63213
"Madison",2018,71117
"Monroe",2018,742864
"Montgomery",2018,49394
"Nassau",2018,1357534
"New",2018,1629055
"Niagara",2018,210060
"Oneida",2018,229474
"Onondaga",2018,461649
"Ontario",2018,109738
"Orange",2018,382126
"Orleans",2018,40655
"Oswego",2018,117515
"Otsego",2018,59810
"Putnam",2018,98814
"Queens",2018,2274605
"Rensselaer",2018,159283
"Richmond",2018,476260
"Rockland",2018,325522
"St.",2018,108327
"Saratoga",2018,230170
"Schenectady",2018,155079
"Schoharie",2018,31146
"Schuyler",2018,17884
"Seneca",2018,34179
"Steuben",2018,95860
"Suffolk",2018,1480830
"Sullivan",2018,75399
"Tioga",2018,48441
"Tompkins",2018,102419
"Ulster",2018,178418
"Warren",2018,64215
"Washington",2018,61274
"Wayne",2018,90200
"Westchester",2018,968213
"Wyoming",2018,40023
"Yates",2018,24951
"New",2017,19589572
"Albany",2017,307717
"Allegany",2017,46639
"Bronx",2017,1440625
"Broome",2017,193100
"Cattaraugus",2017,77176
"Cayuga",2017,77457
"Chautauqua",2017,128372
"Chemung",2017,84736
"Chenango",2017,47805
"Clinton",2017,80531
"Columbia",2017,60338
"Cortland",2017,47815
"Delaware",2017,45028
"Dutchess",2017,293545
"Erie",2017,919034
"Essex",2017,37487
"Franklin",2017,50465
"Fulton",2017,53802
"Genesee",2017,57798
"Greene",2017,47442
"Hamilton",2017,4471
"Herkimer",2017,62163
"Jefferson",2017,113157
"Kings",2017,2594676
"Lewis",2017,26605
"Livingston",2017,63483
"Madison",2017,70942
"Monroe",2017,742724
"Montgomery",2017,49163
"Nassau",2017,1357293
"New",2017,1630698
"Niagara",2017,210848
"Oneida",2017,230011
"Onondaga",2017,461795
"Ontario",2017,109538
"Orange",2017,379758
"Orleans",2017,40786
"Oswego",2017,118427
"Otsego",2017,59920
"Putnam",2017,98856
"Queens",2017,2295808
"Rensselaer",2017,159200
"Richmond",2017,475671
"Rockland",2017,324622
"St.",2017,108699
"Saratoga",2017,229276
"Schenectady",2017,154710
"Schoharie",2017,31255
"Schuyler",2017,17913
"Seneca",2017,34246
"Steuben",2017,96360
"Suffolk",2017,1483358
"Sullivan",2017,74994
"Tioga",2017,48609
"Tompkins",2017,102664
"Ulster",2017,178635
"Warren",2017,64365
"Washington",2017,61559
"Wayne",2017,90429
"Westchester",2017,969689
"Wyoming",2017,40282
"Yates",2017,25002
"New",2016,19633428
"Albany",2016,307597
"Allegany",2016,47044
"Bronx",2016,1444417
"Broome",2016,194498
"Cattaraugus",2016,77658
"Cayuga",2016,77674
"Chautauqua",2016,129206
"Chemung",2016,85644
"Chenango",2016,48315
"Clinton",2016,80500
"Columbia",2016,60835
"Cortland",2016,47915
"Delaware",2016,45393
"Dutchess",2016,293029
"Erie",2016,918678
"Essex",2016,37671
"Franklin",2016,51081
"Fulton",2016,53610
"Genesee",2016,58013
"Greene",2016,47494
"Hamilton",2016,4556
"Herkimer",2016,62436
"Jefferson",2016,112980
"Kings",2016,2608423
"Lewis",2016,26647
"Livingston",2016,64000
"Madison",2016,71387
"Monroe",2016,743770
"Montgomery",2016,49169
"Nassau",2016,1355952
"New",2016,1635443
"Niagara",2016,211554
"Oneida",2016,230375
"Onondaga",2016,464109
"Ontario",2016,109229
"Orange",2016,377799
"Orleans",2016,41247
"Oswego",2016,118895
"Otsego",2016,60132
"Putnam",2016,98761
"Queens",2016,2306830
"Rensselaer",2016,159294
"Richmond",2016,474040
"Rockland",2016,323258
"St.",2016,109449
"Saratoga",2016,227122
"Schenectady",2016,154475
"Schoharie",2016,31304
"Schuyler",2016,17967
"Seneca",2016,34710
"Steuben",2016,96958
"Suffolk",2016,1486406
"Sullivan",2016,74922
"Tioga",2016,48824
"Tompkins",2016,102942
"Ulster",2016,179042
"Warren",2016,64438
"Washington",2016,61795
"Wayne",2016,90758
"Westchester",2016,970267
"Wyoming",2016,40432
"Yates",2016,25059
"New",2015,19654666
"Albany",2015,307433
"Allegany",2015,47334
"Bronx",2015,1440005
"Broome",2015,195928
"Cattaraugus",2015,77926
"Cayuga",2015,78298
"Chautauqua",2015,130529
"Chemung",2015,86705
"Chenango",2015,48772
"Clinton",2015,80718
"Columbia",2015,61434
"Cortland",2015,48290
"Delaware",2015,45891
"Dutchess",2015,294039
"Erie",2015,920644
"Essex",2015,37965
"Franklin",2015,50540
"Fulton",2015,53801
"Genesee",2015,58462
"Greene",2015,47616
"Hamilton",2015,4699
"Herkimer",2015,62652
"Jefferson",2015,116371
"Kings",2015,2608794
"Lewis",2015,26827
"Livingston",2015,64344
"Madison",2015,71636
"Monroe",2015,745577
"Montgomery",2015,49564
"Nassau",2015,1354840
"New",2015,1636063
"Niagara",2015,212358
"Oneida",2015,231264
"Onondaga",2015,466277
"Ontario",2015,109271
"Orange",2015,375803
"Orleans",2015,41481
"Oswego",2015,119735
"Otsego",2015,60504
"Putnam",2015,99185
"Queens",2015,2305838
"Rensselaer",2015,159436
"Richmond",2015,472349
"Rockland",2015,322919
"St.",2015,110348
"Saratoga",2015,226078
"Schenectady",2015,154733
"Schoharie",2015,31405
"Schuyler",2015,18027
"Seneca",2015,34801
"Steuben",2015,97551
"Suffolk",2015,1491967
"Sullivan",2015,74832
"Tioga",2015,49355
"Tompkins",2015,103006
"Ulster",2015,179658
"Warren",2015,64420
"Washington",2015,62246
"Wayne",2015,91291
"Westchester",2015,968773
"Wyoming",2015,40930
"Yates",2015,25128
"New",2014,19651049
"Albany",2014,307151
"Allegany",2014,47652
"Bronx",2014,1430942
"Broome",2014,197251
"Cattaraugus",2014,78677
"Cayuga",2014,78762
"Chautauqua",2014,131751
"Chemung",2014,87177
"Chenango",2014,49319
"Clinton",2014,81463
"Columbia",2014,61942
"Cortland",2014,48740
"Delaware",2014,46562
"Dutchess",2014,295127
"Erie",2014,921755
"Essex",2014,38323
"Franklin",2014,51096
"Fulton",2014,53932
"Genesee",2014,58725
"Greene",2014,47964
"Hamilton",2014,4700
"Herkimer",2014,63384
"Jefferson",2014,117971
"Kings",2014,2601513
"Lewis",2014,27089
"Livingston",2014,64585
"Madison",2014,72210
"Monroe",2014,747364
"Montgomery",2014,49679
"Nassau",2014,1354705
"New",2014,1630678
"Niagara",2014,213305
"Oneida",2014,232598
"Onondaga",2014,467285
"Ontario",2014,109334
"Orange",2014,374845
"Orleans",2014,41861
"Oswego",2014,120590
"Otsego",2014,60950
"Putnam",2014,99438
"Queens",2014,2298736
"Rensselaer",2014,159666
"Richmond",2014,471937
"Rockland",2014,321119
"St.",2014,111437
"Saratoga",2014,224513
"Schenectady",2014,155016
"Schoharie",2014,31767
"Schuyler",2014,18176
"Seneca",2014,34879
"Steuben",2014,98165
"Suffolk",2014,1495525
"Sullivan",2014,75634
"Tioga",2014,49824
"Tompkins",2014,103391
"Ulster",2014,180400
"Warren",2014,64866
"Washington",2014,62475
"Wayne",2014,91801
"Westchester",2014,967044
"Wyoming",2014,41134
"Yates",2014,25149
"New",2013,19624447
"Albany",2013,306589
"Allegany",2013,47900
"Bronx",2013,1421928
"Broome",2013,197914
"Cattaraugus",2013,78996
"Cayuga",2013,79088
"Chautauqua",2013,132852
"Chemung",2013,88199
"Chenango",2013,49477
"Clinton",2013,81523
"Columbia",2013,62170
"Cortland",2013,48905
"Delaware",2013,46803
"Dutchess",2013,296268
"Erie",2013,920869
"Essex",2013,38601
"Franklin",2013,51212
"Fulton",2013,54345
"Genesee",2013,59112
"Greene",2013,48308
"Hamilton",2013,4766
"Herkimer",2013,63883
"Jefferson",2013,118490
"Kings",2013,2587684
"Lewis",2013,27098
"Livingston",2013,64627
"Madison",2013,72457
"Monroe",2013,748290
"Montgomery",2013,49743
"Nassau",2013,1352193
"New",2013,1627491
"Niagara",2013,214105
"Oneida",2013,233347
"Onondaga",2013,468146
"Ontario",2013,109044
"Orange",2013,374320
"Orleans",2013,42229
"Oswego",2013,121170
"Otsego",2013,61614
"Putnam",2013,99572
"Queens",2013,2287185
"Rensselaer",2013,159545
"Richmond",2013,471803
"Rockland",2013,319284
"St.",2013,111931
"Saratoga",2013,224087
"Schenectady",2013,154944
"Schoharie",2013,31900
"Schuyler",2013,18382
"Seneca",2013,35250
"Steuben",2013,98843
"Suffolk",2013,1497346
"Sullivan",2013,76945
"Tioga",2013,50103
"Tompkins",2013,103553
"Ulster",2013,180698
"Warren",2013,65083
"Washington",2013,62765
"Wayne",2013,92339
"Westchester",2013,964567
"Wyoming",2013,41359
"Yates",2013,25207
"New",2012,19572932
"Albany",2012,305723
"Allegany",2012,48210
"Bronx",2012,1411496
"Broome",2012,198667
"Cattaraugus",2012,79348
"Cayuga",2012,79505
"Chautauqua",2012,133304
"Chemung",2012,89137
"Chenango",2012,49883
"Clinton",2012,81714
"Columbia",2012,62449
"Cortland",2012,49023
"Delaware",2012,47215
"Dutchess",2012,297023
"Erie",2012,919906
"Essex",2012,38875
"Franklin",2012,51791
"Fulton",2012,54845
"Genesee",2012,59672
"Greene",2012,48587
"Hamilton",2012,4803
"Herkimer",2012,64227
"Jefferson",2012,120235
"Kings",2012,2568450
"Lewis",2012,27196
"Livingston",2012,64796
"Madison",2012,72414
"Monroe",2012,747344
"Montgomery",2012,49829
"Nassau",2012,1349616
"New",2012,1623911
"Niagara",2012,214713
"Oneida",2012,233765
"Onondaga",2012,467030
"Ontario",2012,108611
"Orange",2012,373699
"Orleans",2012,42391
"Oswego",2012,121458
"Otsego",2012,61747
"Putnam",2012,99625
"Queens",2012,2272222
"Rensselaer",2012,159437
"Richmond",2012,470614
"Rockland",2012,317196
"St.",2012,112355
"Saratoga",2012,222483
"Schenectady",2012,155016
"Schoharie",2012,32039
"Schuyler",2012,18498
"Seneca",2012,35388
"Steuben",2012,98925
"Suffolk",2012,1496982
"Sullivan",2012,76931
"Tioga",2012,50278
"Tompkins",2012,102726
"Ulster",2012,181538
"Warren",2012,65417
"Washington",2012,63003
"Wayne",2012,93029
"Westchester",2012,959585
"Wyoming",2012,41700
"Yates",2012,25337
"New",2011,19499241
"Albany",2011,304596
"Allegany",2011,48800
"Bronx",2011,1397335
"Broome",2011,199363
"Cattaraugus",2011,79815
"Cayuga",2011,79693
"Chautauqua",2011,134209
"Chemung",2011,88899
"Chenango",2011,50182
"Clinton",2011,81728
"Columbia",2011,62528
"Cortland",2011,49380
"Delaware",2011,47584
"Dutchess",2011,298133
"Erie",2011,919843
"Essex",2011,39271
"Franklin",2011,51545
"Fulton",2011,55112
"Genesee",2011,59880
"Greene",2011,48857
"Hamilton",2011,4826
"Herkimer",2011,64386
"Jefferson",2011,117752
"Kings",2011,2540817
"Lewis",2011,27027
"Livingston",2011,64849
"Madison",2011,72887
"Monroe",2011,746751
"Montgomery",2011,49911
"Nassau",2011,1346223
"New",2011,1608293
"Niagara",2011,215719
"Oneida",2011,234218
"Onondaga",2011,467614
"Ontario",2011,108599
"Orange",2011,374097
"Orleans",2011,42648
"Oswego",2011,121981
"Otsego",2011,61971
"Putnam",2011,99827
"Queens",2011,2255482
"Rensselaer",2011,159589
"Richmond",2011,471021
"Rockland",2011,315452
"St.",2011,112277
"Saratoga",2011,221111
"Schenectady",2011,154864
"Schoharie",2011,32618
"Schuyler",2011,18413
"Seneca",2011,35380
"Steuben",2011,99148
"Suffolk",2011,1498892
"Sullivan",2011,77053
"Tioga",2011,50875
"Tompkins",2011,101821
"Ulster",2011,182448
"Warren",2011,65736
"Washington",2011,63091
"Wayne",2011,93256
"Westchester",2011,956262
"Wyoming",2011,41849
"Yates",2011,25454
"New",2010,19399878
"Albany",2010,304086
"Allegany",2010,48971
"Bronx",2010,1387298
"Broome",2010,200481
"Cattaraugus",2010,80218
"Cayuga",2010,79895
"Chautauqua",2010,134725
"Chemung",2010,88895
"Chenango",2010,50399
"Clinton",2010,82096
"Columbia",2010,63036
"Cortland",2010,49279
"Delaware",2010,47888
"Dutchess",2010,297728
"Erie",2010,919152
"Essex",2010,39360
"Franklin",2010,51645
"Fulton",2010,55455
"Genesee",2010,59928
"Greene",2010,49139
"Hamilton",2010,4851
"Herkimer",2010,64470
"Jefferson",2010,116592
"Kings",2010,2509828
"Lewis",2010,27077
"Livingston",2010,65240
"Madison",2010,73440
"Monroe",2010,744580
"Montgomery",2010,50307
"Nassau",2010,1341669
"New",2010,1588767
"Niagara",2010,216475
"Oneida",2010,234756
"Onondaga",2010,467533
"Ontario",2010,108176
"Orange",2010,373445
"Orleans",2010,42851
"Oswego",2010,122137
"Otsego",2010,62259
"Putnam",2010,99667
"Queens",2010,2234701
"Rensselaer",2010,159340
"Richmond",2010,469615
"Rockland",2010,312499
"St.",2010,111812
"Saratoga",2010,220109
"Schenectady",2010,154861
"Schoharie",2010,32686
"Schuyler",2010,18334
"Seneca",2010,35266
"Steuben",2010,99005
"Suffolk",2010,1494339
"Sullivan",2010,77476
"Tioga",2010,51008
"Tompkins",2010,101740
"Ulster",2010,182418
"Warren",2010,65665
"Washington",2010,63356
"Wayne",2010,93751
"Westchester",2010,950601
"Wyoming",2010,42126
"Yates",2010,25376
