Facility Name,Year,Census,Boarded Out,Boarded In,in-House Census,Sentenced,Civil,Federal,Technical Parole Violators,State Readies,Other Unsentenced
Albany County Jail,2019,416,0,51,467,85,0,62,44,13,264
Albany County Jail,2018,587,0,42,628,124,0,136,39,14,315
Albany County Jail,2017,576,1,42,618,137,0,45,50,18,368
Albany County Jail,2016,571,1,46,616,134,0,48,36,21,377
Albany County Jail,2015,578,1,86,664,122,0,32,34,22,454
Albany County Jail,2014,621,0,212,832,129,0,38,32,24,610
Albany County Jail,2013,629,0,145,774,125,0,44,41,27,537
Albany County Jail,2012,622,0,68,689,136,0,33,42,24,455
Albany County Jail,2011,614,0,9,622,129,0,60,37,25,372
Albany County Jail,2010,698,0,23,721,148,0,102,35,20,417
Albany County Jail,2009,645,0,2,647,138,0,81,37,19,371
Albany County Jail,2008,683,0,4,687,127,0,84,54,17,404
Albany County Jail,2007,724,0,23,747,140,0,93,42,19,453
Albany County Jail,2006,789,1,42,831,169,0,66,61,21,514
Albany County Jail,2005,727,1,60,786,170,0,67,65,13,472
Albany County Jail,2004,779,1,92,870,206,0,62,55,12,536
Albany County Jail,2003,840,2,54,892,211,0,54,45,11,571
Albany County Jail,2002,812,1,13,825,146,0,45,43,9,582
Albany County Jail,2001,745,2,7,750,185,0,57,46,5,457
Albany County Jail,2000,689,1,22,710,230,0,53,48,17,363
Albany County Jail,1999,735,4,30,761,266,0,51,68,49,327
Albany County Jail,1998,688,4,30,714,231,0,64,65,45,309
Albany County Jail,1997,722,4,15,734,268,0,62,56,23,325
Allegany County Jail,2019,84,1,3,86,14,0,40,1,0,30
Allegany County Jail,2018,107,2,4,108,14,0,59,4,0,32
Allegany County Jail,2017,111,3,2,110,12,0,58,5,0,34
Allegany County Jail,2016,122,2,0,121,13,0,64,2,0,41
Allegany County Jail,2015,116,0,1,118,14,0,66,0,0,38
Allegany County Jail,2014,124,0,3,128,17,1,70,0,0,40
Allegany County Jail,2013,131,0,1,132,22,1,68,0,0,42
Allegany County Jail,2012,135,0,2,136,25,1,66,0,0,44
Allegany County Jail,2011,129,0,3,132,23,1,66,0,0,41
Allegany County Jail,2010,138,0,3,141,22,1,66,0,0,52
Allegany County Jail,2009,130,0,1,130,17,1,63,0,0,49
Allegany County Jail,2008,117,0,1,118,12,1,65,0,0,39
Allegany County Jail,2007,63,0,0,63,10,1,15,1,0,37
Allegany County Jail,2006,47,7,0,40,7,3,0,1,0,30
Allegany County Jail,2005,54,15,0,40,9,3,0,1,0,26
Allegany County Jail,2004,46,8,0,38,10,4,0,1,0,23
Allegany County Jail,2003,50,10,0,39,10,2,0,2,1,24
Allegany County Jail,2002,51,16,0,35,8,1,0,4,0,22
Allegany County Jail,2001,41,10,0,31,9,2,0,2,1,18
Allegany County Jail,2000,58,7,0,51,20,2,0,3,1,25
Allegany County Jail,1999,49,2,0,47,18,2,0,2,4,22
Allegany County Jail,1998,46,5,0,41,12,1,0,3,3,21
Allegany County Jail,1997,37,3,0,35,12,1,0,3,2,18
All Non-NYC Facilities,2019,12682,235,259,12706,3064,66,1089,973,180,7334
All Non-NYC Facilities,2018,14475,250,288,14513,3469,67,1142,1023,213,8601
All Non-NYC Facilities,2017,15305,319,329,15314,3806,76,1034,971,229,9198
All Non-NYC Facilities,2016,15446,338,351,15459,3882,74,1043,969,238,9254
All Non-NYC Facilities,2015,15515,406,424,15534,4001,87,991,819,228,9408
All Non-NYC Facilities,2014,16163,593,613,16184,4261,109,989,722,252,9850
All Non-NYC Facilities,2013,16756,612,619,16763,4414,93,1105,797,252,10102
All Non-NYC Facilities,2012,17016,572,577,17020,4494,92,1261,784,236,10154
